Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LN0000,Male,No,2,Not Graduate,Yes,17262,7847.23,315,120,1.0,Semiurban,N
LN0001,Female,Yes,2,Not Graduate,No,20994,8264.54,635,240,0.0,Rural,Y
LN0002,Male,Yes,2,Graduate,Yes,20050,9137.65,543,180,1.0,Semiurban,Y
LN0003,Male,No,2,Not Graduate,No,10026,8799.3,382,180,1.0,Rural,Y
LN0004,Male,No,3+,Graduate,No,17398,9997.41,462,120,1.0,Urban,N
LN0005,Female,Yes,2,Not Graduate,Yes,23077,2440.64,663,360,1.0,Semiurban,N
LN0006,Male,Yes,0,Graduate,No,2714,7633.08,698,180,0.0,Rural,Y
LN0007,Male,No,2,Not Graduate,No,22303,5864.6,240,120,0.0,Urban,Y
LN0008,Male,No,3+,Graduate,Yes,16846,2612.45,191,240,1.0,Rural,Y
LN0009,Female,No,2,Not Graduate,Yes,1712,9819.05,122,120,0.0,Semiurban,Y
LN0010,Male,No,0,Graduate,Yes,3158,8978.98,216,120,1.0,Semiurban,Y
LN0011,Male,Yes,3+,Not Graduate,Yes,13770,1285.16,217,180,0.0,Rural,N
LN0012,Male,No,3+,Not Graduate,No,15529,261.58,615,360,1.0,Urban,Y
LN0013,Male,No,0,Graduate,Yes,6524,6883.31,308,240,1.0,Urban,N
LN0014,Female,Yes,0,Not Graduate,Yes,14539,6041.31,488,180,1.0,Urban,Y
LN0015,Male,No,0,Graduate,Yes,23801,9358.16,160,180,1.0,Urban,Y
LN0016,Female,Yes,0,Graduate,Yes,6641,2340.05,580,180,1.0,Rural,N
LN0017,Female,No,0,Not Graduate,Yes,19678,843.88,339,240,0.0,Semiurban,Y
LN0018,Female,No,3+,Graduate,No,7488,2592.15,611,360,0.0,Rural,Y
LN0019,Male,Yes,3+,Not Graduate,Yes,15277,189.28,559,240,1.0,Semiurban,Y
LN0020,Female,Yes,2,Not Graduate,No,7078,358.93,224,240,1.0,Semiurban,N
LN0021,Male,No,2,Graduate,Yes,23435,9148.58,351,360,0.0,Rural,Y
LN0022,Female,No,1,Not Graduate,Yes,16551,3520.17,234,240,1.0,Rural,Y
LN0023,Female,No,2,Graduate,Yes,5345,4108.09,388,120,1.0,Urban,Y
LN0024,Female,Yes,2,Graduate,Yes,13382,183.72,559,240,1.0,Semiurban,N
LN0025,Female,No,0,Not Graduate,Yes,24790,2705.22,359,180,1.0,Urban,N
LN0026,Female,Yes,0,Not Graduate,Yes,15747,8047.26,556,240,1.0,Urban,Y
LN0027,Female,Yes,2,Graduate,Yes,12984,6154.91,395,180,1.0,Rural,Y
LN0028,Female,No,1,Graduate,Yes,1878,7537.81,130,240,1.0,Urban,N
LN0029,Female,Yes,0,Not Graduate,No,4793,4472.14,423,180,1.0,Urban,Y
LN0030,Male,No,2,Not Graduate,Yes,21213,3097.29,205,180,0.0,Urban,Y
LN0031,Male,No,2,Not Graduate,No,22692,4828.1,481,180,1.0,Rural,Y
LN0032,Female,No,3+,Not Graduate,Yes,13130,3230.71,549,360,1.0,Urban,Y
LN0033,Female,No,1,Graduate,No,15160,8389.71,196,240,1.0,Urban,Y
LN0034,Female,No,3+,Not Graduate,Yes,18108,2976.74,530,240,1.0,Rural,Y
LN0035,Male,Yes,1,Graduate,Yes,2237,6597.64,484,120,1.0,Rural,Y
LN0036,Female,Yes,0,Graduate,Yes,18119,1369.82,568,120,1.0,Rural,N
LN0037,Male,No,1,Not Graduate,No,13970,6868.66,118,120,1.0,Semiurban,Y
LN0038,Male,No,2,Graduate,No,18595,9133.0,655,240,1.0,Rural,Y
LN0039,Male,Yes,2,Not Graduate,No,23872,6085.83,235,360,1.0,Semiurban,N
LN0040,Male,Yes,1,Graduate,No,17617,5598.55,253,180,1.0,Rural,N
LN0041,Male,Yes,1,Not Graduate,Yes,16279,9611.18,603,240,1.0,Rural,Y
LN0042,Female,Yes,1,Graduate,Yes,19772,6273.97,62,360,1.0,Rural,Y
LN0043,Female,No,3+,Graduate,Yes,19143,2595.5,323,360,0.0,Semiurban,Y
LN0044,Female,No,1,Not Graduate,No,23130,2923.91,347,240,1.0,Urban,Y
LN0045,Female,Yes,0,Not Graduate,Yes,8771,7053.07,100,180,1.0,Rural,Y
LN0046,Female,No,3+,Graduate,No,18632,7354.37,549,360,1.0,Semiurban,Y
LN0047,Male,Yes,3+,Graduate,No,13678,3034.96,418,240,0.0,Rural,Y
LN0048,Female,No,1,Not Graduate,No,21435,3453.44,406,180,1.0,Urban,N
LN0049,Female,Yes,0,Graduate,No,15990,9910.57,52,120,1.0,Semiurban,Y
LN0050,Male,No,3+,Not Graduate,No,24284,1019.53,303,360,1.0,Rural,Y
LN0051,Female,Yes,2,Graduate,Yes,24527,4046.45,524,360,1.0,Rural,Y
LN0052,Male,Yes,3+,Not Graduate,No,15363,624.48,555,240,1.0,Rural,Y
LN0053,Female,No,1,Graduate,No,3323,8210.78,305,240,1.0,Urban,Y
LN0054,Male,Yes,0,Not Graduate,Yes,8352,923.46,659,180,1.0,Semiurban,N
LN0055,Female,No,1,Not Graduate,No,14572,6740.07,199,120,0.0,Rural,Y
LN0056,Female,No,2,Graduate,No,12633,564.83,537,120,1.0,Rural,Y
LN0057,Male,Yes,2,Not Graduate,Yes,16611,6728.55,328,240,1.0,Semiurban,Y
LN0058,Male,No,2,Graduate,Yes,22116,8430.37,108,240,1.0,Urban,Y
LN0059,Male,No,1,Not Graduate,Yes,8019,3988.22,495,180,0.0,Urban,Y
LN0060,Male,No,3+,Not Graduate,No,3277,5221.26,162,240,1.0,Urban,Y
LN0061,Male,No,1,Not Graduate,Yes,19106,4015.42,618,180,0.0,Urban,N
LN0062,Male,No,0,Graduate,Yes,16272,3004.89,538,180,1.0,Urban,N
LN0063,Male,Yes,3+,Not Graduate,Yes,15121,8032.63,456,120,1.0,Rural,Y
LN0064,Male,No,2,Graduate,No,13359,2720.03,416,180,1.0,Rural,N
LN0065,Female,No,1,Not Graduate,Yes,19661,7229.43,109,120,0.0,Rural,N
LN0066,Female,No,2,Graduate,No,10996,2061.97,378,120,1.0,Semiurban,Y
LN0067,Male,No,2,Graduate,No,8990,2498.54,518,120,1.0,Urban,N
LN0068,Female,No,0,Graduate,Yes,22743,3364.61,616,240,1.0,Semiurban,Y
LN0069,Female,Yes,3+,Not Graduate,No,10393,5891.56,112,120,1.0,Urban,N
LN0070,Female,No,0,Graduate,No,4489,4544.22,233,180,1.0,Urban,Y
LN0071,Female,Yes,0,Not Graduate,Yes,9843,7451.45,360,240,0.0,Semiurban,Y
LN0072,Male,Yes,0,Graduate,No,19209,2135.67,587,180,1.0,Rural,Y
LN0073,Female,Yes,2,Graduate,Yes,13414,106.72,226,240,1.0,Semiurban,Y
LN0074,Male,Yes,0,Graduate,No,23011,7765.57,624,180,1.0,Rural,N
LN0075,Female,No,0,Graduate,No,10498,8216.49,478,360,1.0,Urban,Y
LN0076,Female,Yes,3+,Not Graduate,Yes,4222,594.8,122,360,1.0,Rural,Y
